Vocabulary: BAND 1 - Translation,,,,,,,
a/an,)לפני שם עצם),also,גם,home,בית,between,בין/ בתוך
about,"אודות ,על",always,תמיד,August,(שם של חודש) ,big,גדול
above,מעל,"I'm, am",אני (זמן הווה),autumn,סתיו,birthday,יום הולדת
across,מעבר,and,ו- ,away,הרחק,a bit of,קצת
action,פעולה,angry,כועס,back,חזור,black,שחור
Address (n),כתובת,animal,"בהמה, חיה",,,blue,כחול
afraid,מפחד,another,עוד( אחד),bad,רע,board,לוח
after,אחרי,(n (answer,תשובה,bag,תיק,body,גוף
afternoon,"אחה""צ",(v (answer,לענות,baby,תינוק,book,ספר
again,שוב,any,כל /איזה,be,להיות,bored,משועמם
age,גיל,anyone,כל אחד,beautiful,יפה,boring,משעמם
ago,לפני עכשיו,anything,כל דבר,because,בג לל ש- ,bottle,בקבוק
agree,מסכים,appear,להופיע,because of,בגלל ה- ,box,קופסא
all,כל ה- ,April,(שם של חודש) ,bed,מיטה,boy,בן
(not(,לא,are,(זמן הווה) ,before,לפני,bread,לחם
at,ב- ,arrive,להגיע,begin,להתחיל,Break(v),לשבור
all,כל ה- ,at,ב- ,behind,מאחור,breakfast,ארוחת בוקר
almost,כמעט,ask,לשאול,believe,להאמין,bring,להביא
alone,לבד,ask for,לבקש,beside,על יד,brother,אח
alphabet,סדר האלף-בית,at,,best,הכי טוב,brown,חום
already,כבר,at,,better,יותר טוב,build,לבנות
1,,,,,,,
Vocabulary: BAND 1 - Translation,,,,,,,
bus,אוטובוס,cheap,זול,country,"ארץ ,מדינה",doctor,"דוקטור, רופא"
busy,עסוק,children,ילדים,of course,בוודאי,do,לעשות
but,אבל,(child(,ילד,Cross the,לעבור את הכביש/,dog,כלב
buy,לקנות,chocolate,שוקולד,street/road,רחוב,Don't…!,אל!...
by,על יד /ידי,class,כיתה,(v (cry,לבכות,,
By the way,דרך אגב,classroom,חדר לימוד,(v (cut,לחתוך,door,דלת
call,להתקשר,(v (clean,לנקות,dad,אבא,down,למטה
call,לקרוא,(adj (clean,נקי,dark,חשוך,draw,לצייר
,,clear,בהיר,date,תאריך,(n (dress,שמלה
(v (can,יכול,(v (close,לסגור,daughter,בת( של),(v (drink,לשתות
capital,(עיר) בירה,(adj (closed,סגור,day,יום,(v (drive,לנהוג
Capital (letter),(אות )גדולה,coffee,קפה,Have a good day,שיהיה לך יום טוב,(adj (dry,יבש
car,מכונית,cold,קר,Dear,(לפלוני )היקר,each,כל אחד
Takecare!,שמור על עצמך!,color,צבע,(letter/email),,early,מוקדם
careful,זהיר,come,לבוא,,,ears,אוזניים
Be careful !,תזהר!,come back ,לחזור,December,שם של חודש,easy,קל
cat,חתול,computer,מחשב,decide,להחליט,eat,לאכול
catch,לתפוס,cool,קריר,dictionary,מילון,eighteen,18
center,מרכז,(v (copy,להעתיק,different,שונה,eighty,80
chair,כסא,(v (cost,להעלות,difficult,קשה,eleven,11
(v (change,לשנות,count,לספור,,,,
2,,,,,,,
Vocabulary: BAND 1 - Translation,,,,,,,
email,"דוא""ל",in fact,"באמת,",Fine!,בסדר גמור!,friend,חבר
the end,הסוף,fair,הוגן,,,from,מ-
In the end,בסוף,That's not fair!,זה לא הוגן,finish,לסיים,in front of,ממול
English,אנגלית,(v (fall,ליפול,(n (fire,אש,full,מלא
enjoy,להנות,family,משפחה,first,ראשון,funny,מצחיק
enough,מספיק,far,רחוק,five,5,game,משחק
enter,להכנס,fast,מהיר,flower,פרח,garden,גינה
evening,ערב,,,(v (fly,לעוף,get,לקבל
every,כל,father,אבא,food,אוכל,girl,ילדה
everybody,כל אחד,favorite,מעודף,"feet, foot","כף רגל ,כפות
רגלים",give,לתת
everyone,כל אחד,February,שם של חודש,for,עבור,glad,שמח
everything,כל דבר,feel,להרגיש,forget,לשכוח,glass,"כוס, זכוכית"
example,דוגמא,a few,"כמה, מספר",four,4,go,ללכת
for example ,לדוגמא,fifteen,15,fourteen,14,go on,להמשיך
excuse me,סלח לי!,fifth,חמישי,fourth,רביעי,going to,עומד לעשות
(n (exercise,תרגיל,fifty,50,forty,40,good,טוב
expensive,יקר,film,סרט,(adj (free,חופשי,good at,טוב ב- 
extra,"נוסף ,מיותר",find,למצוא,free,בחינם,goodbye,להתראות
eyes,עיניים,find out,לגלות,,,grade,כיתה -(שכבה)
face,פנים,fine,"נאה,",Friday,יום ששי,grade,ציון
3,,,,,,,
Vocabulary: BAND 1 - Translation,,,,,,,
grade,ציון,head,ראש,hungry,רעב,just,רק
,,hear,לשמוע,idea,רעיון,"She’s just a
baby.",
great,נפלא,hello,שלום!,if,אם,keep,לשמור
green,ירוק/ סביבתי,help,לעזור,immediately,מיד,kid,ילד
grow,לגדל,her,לה/שלה,important,חשוב,kind (n),סוג
guess (n),ניחוש,herself,בעצמה,impossible,בלתי אפשרי,kind of,סוג של
guess (v),לנחש,here,כאן,in,ב- ,know,לדעת/להכיר
hair,שער,high,גבוה,inside,בתוך,large,גדול
half,חצי,him,לו,interested in,מעוניין ב- ,last (adj),אחרון
half past,וחצי( בשעון),himself,בעצמו,interesting,מעניין,last night,אתמול בלילה
hand,יד,his,שלו,into,לתוך,late,מאוחר
hang,לתלות,hold,להחזיק,invite,להזמין,learn,ללמוד
happen,לקרות,home,בית,is,(זמן הווה),at least,לפחות
happy,שמח,hope (v),לקוות,it,זה,leave,לעזוב
hard (adj),קשה,hot,חם,its,של זה,left,שמאל
hard (adv),בצורה קשה,hour,שעה,itself,בעצמו( לא אדם),"I write with my
left hand",
hard work ,עבודה קשה,house,בית,January,שם של חודש,less,פחות
hat,כובע,how,איך,job,עבודה,lesson,שיעור
have,"יש
לי/לך(...בעלות)",How are you?,מה שלומך?,June,שם של חודש,let's,בואו
have to be,חייב להיות,hundred,100,July,שם של חודש,letter,אות
,,head,ראש,,,letter,מכתב
4,,,,,,,
Vocabulary: BAND 1 - Translation,,,,,,,
"The last letter of 
the",אות,make,לעשות/ליצור/להכין,Do you mind?,אכפת לך?,Mrs,"גברת(ר""ת)"
alphabet is Z,,"man, men","איש ,אנשים",minus,מינוס,Ms,"גברת(ר""ת)"
letter,מכתב,many,הרבה,minute (n),דקה,much,הרבה
"I wrote a letter 
to my cousin.",,how many?,כמה?,in a minute,תוך דקה,How much?,כמה?
lie,לשקר,March,(שם של חודש) ,mistake,טעות,music,מוזיקה
"It was wrong to
lie to my friend.",,it doesn't matter,לא משנה,mix,לערבב,my,שלי
,,"What’s the 
matter?",מה קרה?,mom / mum,אימ א,myself,בעצמי
lie down,לשכב,May,(שם של חודש) ,at the moment,כרגע,name,שם
life,חיים,maybe,אולי,Monday,יום ראשון,What’s your,איך קוראים לך?
light (n),אור,me,לי,money,כסף,name?,
like (prep),כמו,mean,להתכוון,month,חד ש,My name is …,קוראים לי...
like (v),לאהוב- לחבב,I mean,אני מתכוון,moon,ירח,near,קרוב ל- 
listen,לשמוע,"What do you
mean?",מה אתה מתכוון?,more,יותר,need,"צריך, זקו ק"
little,קטן/קטנה,meaning,משמעות,morning,בוקר,neighbor,שכן
a little girl,,meet,לפגוש,most,הכי הרבה,never,לעולם לא
live (v),לגור/לחיות,meeting,פגישה/ישיבה,mother,אימ א,new,חדש
long look,מבט ארוך,memory,זיכרו ן,mouth,פה,news,חדשות
at last,לבסוף,message,הודעה,move,לזוז,next,הבא
a lot of,הרבה,middle,אמצע,movie,סרט,next to,על יד
lots of love,"באהבה רבה
(בסוף מכתב)",milk,חלב,Mr,"מר( ר""ת)",nice,נאה
5,,,,,,,
Vocabulary: BAND 1 - Translation,,,,,,,,
night,לילה,I'm … years old,אני בן....,paper,נייר,practice (v),לתרגל,
at night,בלילה,on,ב / -על,part (n),חלק,problem,בעיה,
nine,9,once,פעם,past (n & adj),עבר,no problem!,אין בעיה!,
nineteen,19,"once upon a 
time",היה היה פעם,pay (v),לשלם,project,פרויקט,
ninety,90,one,1,pen,עט,pupil,תלמיד,
no,לא!,only,רק,pencil,עפרון,push,לדחוף,
nobody,אף אחד,open (v),לפתוח,people,אנשים,put,לשים,
no-one,אף אחד,open (adj),פתוח,perhaps,אולי,question,שאלה,
not,לא...,or,או,person,אדם,quick,מהיר,
notebook,מחברת,other,אחר,pick up,להרים,quiet,שקט,
nothing,שום דבר,our,שלנו,picture,תמונה,Be quiet!,תהיה בשקט!,
November,(שם של חודש) ,ourselves,בעצמינו,piece (of),חתיכה של,radio,רדיו,
now,עכשיו,out,בחוץ,place (n),מקום,read,לקרוא,
number (n),מספר,over,על /לעבר/יותר,plan (n),תכנית,ready,מוכן,
October,(שם של חודש) ,own,משלו,plan (v),לתכנן,Are you ready?,האם אתה מוכן?,
of,של,"(my own,",משלי,play,לשחק/לנגן,I'm ready,אני מוכן,
often,לעיתים קרובות,your own …),משלך,play a game,לשחק משחק,real,אמיתי,
OK / okay,בסדר,,,please,בבקשה,really,באמת,
old,זקן/ישן,parents,הורים,poor,עני,red,אדום,
"How old are 
you?",בן כמה אתה?,page,עמוד,possible,אפשרי,remember,לזכור,
,,,,,,,,.
6,,,,,,,,
Vocabulary: BAND 1 - Translation,,,,,,,
rest (v),לנוח,,,sing,לשיר,some,כמה
return,לחזור,,,sister,אחות,somebody,מישהו
rich,עשיר,see,לראות,sit,לשבת,something,משהו
right,ימין,send,לשלוח,six,6,sometimes,לפעמים
my right hand,יד ימיני,sentence,משפט,sixteen,16,son,בן (של) 
right,"נכון, צודק",September,(שם של חודש) ,sixty,60,soon,בקרוב
the right answer.,התשובה הנכונה,seven,7,size,מידה,song,שיר
right now,ממש עכשיו,seventeen,17,What size…?,איזה מידה?...,sorry,מצטער
"all right, alright",בסדר,seventy,70,sky,שמיים,I'm sorry,אני מצטער
road,כביש,she,היא,sleep,לישון,speak,לדבר
room,חדר,short,קצר,special,מיוחד,spell (v),לאיית
round,עגול,,,spring,אביב,sport,ספורט
rule,חוק,shout,לצעו ק,summer,קיץ,start,להתחי ל
run,לרוץ,show (v),להראות,slow,איטי,still,עדיין
sad,עצוב,shut (adj),סגור,small,קטן,,
the same (as),אותו הדבר,shut (v),לסגור,smart,חכם,story,סיפור
Saturday,שבת,sick,חולה,,,straight,ישר
say,לומר,side (n),צד,smile (n),חיוך,strong,חזק
school,בית ספר,sign (n),סימן,smile (v),לחייך,student,תלמיד
second,שני /שנייה,simple,פשוט,so,לכן,suddenly,פתאום
7,,,,,,,
Vocabulary: BAND 1 - Translation,,,,,,,,
sun,שמש,them,להם,today,,היום,turn left/right,
Sunday,יום ראשון,themselves,בעצמם,together,,ביחד,twenty,20
supper,ארוחת ערב,then,אז,tomorrow,,מחר,two,2
sure,בטוח,there,שם,tonight,,הלילה,under,מתחת
take,לקחת,"there is, there 
are",יש,too,,גם.,understand,להבין
talk (v),לדבר,these,אלה,"You can come 
too.",אתה גם יכול לבוא,,until,עד
tall,גבוה,they,הם,too,יותר מדי,,up,למעלה
tea,תה,thing,דבר,"The question is 
too hard.","השאלה יותר מדי
קשה",,us,לנו
teach,ללמד,think,לחשוב,too much,יותר מדי,,use (v),להשתמש
telephone,טלפון,third,שלישי,town,,עיירה,usually,בדרך כלל
television,טלוויזי ה,thirteen,13,tree,,עץ,vacation,חופש
tell,לספר,thirty,30,go on a trip,לטיול,לצאת,very,מאו ד
tell a story,לספר סיפור,this,זה,truck,משאית,,wait (for) (v),לחכות
test,מבחן,those,אלה,true,,אמיתי,walk (v),ללכת
than,מ-(השוואה),three,3,try,,לנסות,wall,קיר
thank you,תודה,Thursday,יום חמישי,Tuesday,יום שלישי,,want,רוצה
thanks,תודה,time,זמן,turn (v),,לפנות,"was, were","היה ,היו"
that,ש-,"What's the
time?",מה השעה?,,,,,
the,ה-,The time is…,השעה...,,,,,
their,שלהם,to,ל- ,,,,,
8,,,,,,,,
Vocabulary: BAND 1 - Translation,,,,,,,
wash,לשטוף,Well done!,כל הכבוד!,wonderful,נפלא,,
watch,לצפות/להסתכל,What a pity,איזה חבל!,word,מילה,,
water,מים,shame!,בושה!,work,עבודה,,
way,דרך,what,מה,world,עולם,,
Which way…?,איזה דרך?...,when,מתי,worse,יותר גרוע,,
we,אנחנו,where,איפה,worst,הכי גרוע,,
wear,ללבוש,while,בזמן ש- ,write,לכתוב,,
Wednesday,יום רביעי,white,לבן,wrong,לא נכון,,
week,שבוע,who,מי,year,שנה,,
welcome,ברוך הבא,why,למה,yellow,צהוב,,
you're welcome!,בבקשה,will,(לשון עתיד),yes,כן! ,,
well,טוב,window,חלון,yesterday,אתמול,,
,,,,,,,
I feel very well.,"אני מרגיש טוב
מאוד",winter,חורף,you,"את/ה, אתם/ן",,
well,בצורה טובה,wish,לאחל,young,צעיר,,
"He did the job
well.",,with,עם,your,שלך,,
as well,גם,without,"ללא, בלי",,,,
as well as,נוסף ל- ,"woman, women","אשה ,נשים",,,,
9,,,,,,,
